G18UU-22632-MONOMER	G18UU-22632		Signal Recognition Particle protein translocation receptor GTPase	
G18UU-22631-MONOMER	G18UU-22631		cytokinetic ring ABC transporter-like subunit - ATP-binding subunit	
G18UU-22630-MONOMER	G18UU-22630		membrane component of the ABC transporter FtsEX involved in cellular division	
G18UU-22629-MONOMER	G18UU-22629		RNA polymerase factor sigma-32	
G18UU-22628-MONOMER	G18UU-22628		Monofunctional biosynthetic peptidoglycan transglycosylase	
G18UU-22627-MONOMER	G18UU-22627		conserved inner membrane protein	
G18UU-22626-MONOMER	G18UU-22626		Sulfur carrier protein ThiS	
G18UU-22625-MONOMER	G18UU-22625		thiazole synthase	
G18UU-22624-MONOMER	G18UU-22624		tRNA (guanine-N(7)-)-methyltransferase	
G18UU-22623-MONOMER	G18UU-22623		conserved hypothetical protein	
G18UU-22622-MONOMER	G18UU-22622		coproporphyrinogen/heterocyclic compound oxidase (aerobic)	
G18UU-22621-MONOMER	G18UU-22621		dITP/XTP pyrophosphatase	
G18UU-22620-MONOMER	G18UU-22620		conserved protein of unknown function	
G18UU-22619-MONOMER	G18UU-22619		methionine biosynthesis protein MetW	
G18UU-22618-MONOMER	G18UU-22618		homoserine O-acetyltransferase	
G18UU-22617-MONOMER	G18UU-22617		putative factor involved in shape determination	
G18UU-22616-MONOMER	G18UU-22616		pyrroline-5-carboxylate reductase	
G18UU-22615-MONOMER	G18UU-22615		putative enzyme with PLP binding domain	
G18UU-22614-MONOMER	G18UU-22614		twitching motility protein	
G18UU-22613-MONOMER	G18UU-22613		putative exported NLP/P60 protein	
G18UU-22612-MONOMER	G18UU-22612		conserved membrane protein of unknown function	
G18UU-22611-MONOMER	G18UU-22611		putative cell division protein	
G18UU-22610-MONOMER	G18UU-22610		arginyl-tRNA synthetase	
G18UU-22609-MONOMER	G18UU-22609		primosome assembly protein	
G18UU-22608-MONOMER	G18UU-22608		ribosomal protein L31	
G18UU-22607-MONOMER	G18UU-22607		putative nuclease (SNase domain protein)	
G18UU-22606-MONOMER	G18UU-22606		malic enzyme B	
G18UU-22605-MONOMER	G18UU-22605		penicillin-insensitive transglycosylase/penicillin-sensitive transpeptidase	
G18UU-22604-MONOMER	G18UU-22604		putative Type IV pili biogenesis protein PilM	
G18UU-22603-MONOMER	G18UU-22603		Type IV pili biogenesis protein PilN	
G18UU-22602-MONOMER	G18UU-22602		Type IV pili biogenesis protein	
G18UU-22601-MONOMER	G18UU-22601		type 4 pili biogenesis protein	
G18UU-22600-MONOMER	G18UU-22600		Shikimate kinase	
G18UU-22599-MONOMER	G18UU-22599		3-dehydroquinate synthase	
G18UU-22598-MONOMER	G18UU-22598		conserved protein of unknown function	
G18UU-22597-MONOMER	G18UU-22597		L-glutamate synthase(NADPH) alpha subunit	
G18UU-22596-MONOMER	G18UU-22596		glutamate synthase (NADPH) beta subunit	
G18UU-22595-MONOMER	G18UU-22595		Uroporphyrinogen decarboxylase	
G18UU-22594-MONOMER	G18UU-22594		conserved exported protein of unknown function	
G18UU-22593-MONOMER	G18UU-22593		efflux transporter	
G18UU-22592-MONOMER	G18UU-22592		putative DNA-binding transcriptional regulator	
G18UU-22591-MONOMER	G18UU-22591		ParA family protein	
G18UU-22590-MONOMER	G18UU-22590		Thioredoxin 2	
G18UU-22589-MONOMER	G18UU-22589		conserved protein of unknown function, UPF0061 family	
G18UU-22588-MONOMER	G18UU-22588		mechanosensitive channel protein, intermediate (smaller, MscS-like) conductance, K+ efflux	
G18UU-22587-MONOMER	G18UU-22587		K(+)/H(+) antiporter NhaP2	
G18UU-22586-MONOMER	G18UU-22586		conserved protein of unknown function	
G18UU-22585-MONOMER	G18UU-22585		choline dehydrogenase	
